trace_id,feature,kind,requirement_id,requirement,spec_path,api,implementation,tests,ci_evidence,classification,notes
003-FR-001,003,FR,FR-001,"The system MUST provide project-wide fixed-width integer, unsigned integer, character, boolean, pointer-size, and size-related type names with documented size expectations.",specs/003-core-types-memory/spec.md:79,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-002,003,FR,FR-002,"The system MUST provide an engine string value that supports construction from text, copying, moving, comparison, length queries, emptiness checks, and conversion to a standard textual view for diagnostics.",specs/003-core-types-memory/spec.md:80,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-003,003,FR,FR-003,The system MUST provide a hashed immutable name value for fast identifier comparison while preserving correct equality semantics for names created from text.,specs/003-core-types-memory/spec.md:81,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-004,003,FR,FR-004,The system MUST provide shared and unique ownership pointer vocabulary that developers can use consistently across Core-facing APIs.,specs/003-core-types-memory/spec.md:82,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-005,003,FR,FR-005,"The system MUST provide memory utilities for allocation, aligned allocation, deallocation, copying, moving, setting, and zeroing memory.",specs/003-core-types-memory/spec.md:83,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-006,003,FR,FR-006,The system MUST provide dynamic array and key-value map aliases or wrappers that match the project's public naming conventions and are usable by later engine layers.,specs/003-core-types-memory/spec.md:84,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-007,003,FR,FR-007,The public Core foundation primitives MUST be accessible without including or depending on higher engine layers.,specs/003-core-types-memory/spec.md:85,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-008,003,FR,FR-008,"Each primitive category MUST include verification coverage for normal, boundary, and invalid-input cases appropriate to that category.",specs/003-core-types-memory/spec.md:86,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-009,003,FR,FR-009,"Public documentation or discoverable comments MUST describe ownership expectations, allocation/deallocation pairing, alignment requirements, and the scope boundaries of this feature.",specs/003-core-types-memory/spec.md:87,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-FR-010,003,FR,FR-010,"The feature MUST exclude math types, logging/assertion systems, and platform file or process operations; those remain assigned to later roadmap phases.",specs/003-core-types-memory/spec.md:88,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-SC-001,003,SC,SC-001,A developer can create a Core-only sample using all public primitive categories in under 15 minutes using the names and behavior described by this spec.,specs/003-core-types-memory/spec.md:103,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
